Ticker,Sector,Price,vs 20MA,vs 50MA,1M Ret,3M Ret,RS Hi,RSI,MACD Bull,MACD Hist,AvgVol(M),2-Speed,PASS
RTX,Industrials,173.99,False,False,-0.11324601427238379,-0.13189166933828056,False,30.6,False,-1.762,5.1,NO TRADE,False
HON,Industrials,212.5,False,False,-0.07387229101626724,-0.061544181124452924,False,35.6,False,-1.404,3.8,NO TRADE,False
UNP,Industrials,266.32,True,True,0.08830861026300219,0.13808518045481422,False,63.2,True,1.452,3.1,FULL,False
UPS,Industrials,107.57,True,True,0.09564065349828099,-0.010881179381615147,False,58.1,True,0.392,5.2,HALF,False
BA,Industrials,227.38,True,True,0.09201807487168678,-0.02420392792995496,False,55.4,True,0.371,5.9,HALF,False
LMT,Industrials,512.77,False,False,-0.17665659753321095,-0.1895088328736717,False,23.0,False,-6.569,1.5,NO TRADE,False
GE,Industrials,286.51,False,False,0.01902833274232396,-0.07056017194175479,False,44.9,False,-0.507,6.8,HALF,False
CAT,Industrials,889.67,True,True,0.2428038531102128,0.29013009765400444,True,75.1,True,7.038,2.3,FULL,True
DE,Industrials,577.26,False,False,0.0026923064282566855,0.08773767954812417,False,48.8,False,-1.29,1.1,FULL,False
MMM,Industrials,142.5,False,False,-0.01363605734102269,-0.0670702121850647,False,39.0,False,-0.368,3.7,NO TRADE,False
ITW,Industrials,255.47,False,False,-0.010611480287553765,-0.026964771931455966,False,37.0,False,-1.219,1.3,NO TRADE,False
EMR,Industrials,137.45,False,False,0.04365983396536999,-0.07166664880337958,False,46.1,False,-0.608,2.7,HALF,False
ETN,Industrials,425.55,True,True,0.17848236111903426,0.1876166267428112,True,64.9,True,0.981,2.3,FULL,True
PH,Industrials,882.23,False,False,-0.02844527581799683,-0.07156066922601412,False,34.6,False,-9.219,0.7,NO TRADE,False
ROK,Industrials,407.43,True,True,0.11618542802739751,-0.047314971572511966,False,58.6,False,-0.323,0.7,HALF,False
FDX,Industrials,393.67,True,True,0.08859886655507077,0.17884295221692992,False,59.7,True,0.831,1.4,FULL,False
CSX,Industrials,45.09,True,True,0.09388643418916298,0.17839281571635324,False,63.7,True,0.108,12.0,FULL,False
NSC,Industrials,315.9,True,True,0.09687497880723739,0.08867964315106125,False,64.0,True,1.392,1.2,FULL,False
WM,Industrials,228.77,True,False,-0.028247361941240556,0.029215025949240525,False,49.4,True,0.577,2.0,HALF,False
RSG,Industrials,206.56,False,False,-0.0745105278054663,-0.0397869660407969,False,40.1,True,0.047,1.7,NO TRADE,False
CTAS,Industrials,169.61,False,False,-0.027130869719486528,-0.10952755029974126,False,35.1,True,0.104,1.9,NO TRADE,False
CPRT,Industrials,33.27,False,False,-0.003892247370542945,-0.16154233362180703,False,45.0,True,0.086,7.8,NO TRADE,False
GWW,Industrials,1148.62,False,True,0.027893906042614658,0.04981980287320198,False,53.0,False,-2.225,0.2,FULL,False
AME,Industrials,230.48,False,True,0.05584315734266254,0.0137269951105361,False,52.2,False,-0.423,1.2,FULL,False
TT,Industrials,486.48,True,True,0.13911069062034853,0.14717694825160144,False,64.0,True,0.692,1.3,FULL,False
IR,Industrials,77.99,False,False,0.0010267513528441352,-0.12292512816605616,False,39.1,False,-0.62,3.8,HALF,False
CARR,Industrials,67.62,True,True,0.21378574506975534,0.12027836419513549,False,68.5,True,0.62,7.1,FULL,False
OTIS,Industrials,77.08,False,False,-0.010017965234811133,-0.10116694926933001,False,40.4,False,-0.067,3.4,NO TRADE,False
PWR,Industrials,742.21,True,True,0.323885656330148,0.5537933512440063,True,83.8,True,12.235,1.0,FULL,True
